Id;gaming_interest_score;insta_design_interest_score;football_interest_score;recommended_product;campaign_success;age;canal_recommande;tranche_age;segment_principal;campaign_success_num
1;51.0;92.0;14.0;instagram pack;True;21;insta;19-25;design;1
2;60.0;20.0;82.0;fifa;True;27;mail;26-35;football;1
3;74.0;87.0;99.0;fifa;True;27;mail;26-35;football;1
4;2.0;21.0;52.0;fifa;False;29;insta;26-35;football;0
5;29.0;37.0;1.0;instagram pack;True;21;insta;19-25;design;1
6;20.0;32.0;75.0;fifa;True;42;mail;36-50;football;1
7;88.0;48.0;90.0;fifa;True;27;mail;26-35;football;1
8;41.0;91.0;59.0;instagram pack;True;20;insta;19-25;design;1
9;61.0;61.0;46.0;fortnite;False;23;mail;19-25;gaming;0
10;54.0;63.0;2.0;instagram pack;False;23;insta;19-25;design;0
12;6.0;20.0;72.0;fifa;True;53;mail;51+;football;1
13;3.0;88.0;59.0;instagram pack;True;23;insta;19-25;design;1
14;8.0;89.0;52.0;instagram pack;True;20;insta;19-25;design;1
15;91.0;59.0;70.0;fortnite;True;24;facebook;19-25;gaming;1
16;7.0;46.0;34.0;instagram pack;False;20;insta;19-25;design;0
17;35.0;49.0;3.0;instagram pack;True;24;insta;19-25;design;1
18;5.0;53.0;3.0;instagram pack;True;20;insta;19-25;design;1
19;62.0;17.0;89.0;fifa;True;21;mail;19-25;football;1
20;73.0;61.0;99.0;fifa;True;26;mail;26-35;football;1
21;47.0;14.0;71.0;fifa;True;54;mail;51+;football;1
22;61.0;39.0;84.0;fifa;True;27;mail;26-35;football;1
23;81.0;52.0;23.0;fortnite;True;24;facebook;19-25;gaming;1
24;59.0;40.0;28.0;fortnite;False;20;facebook;19-25;gaming;0
25;64.0;88.0;70.0;instagram pack;True;26;insta;26-35;design;1
26;0.0;7.0;87.0;fifa;True;53;mail;51+;football;1
27;80.0;7.0;34.0;fortnite;False;21;mail;19-25;gaming;0
28;4.0;40.0;27.0;instagram pack;False;29;insta;26-35;design;0
29;71.0;11.0;33.0;fortnite;True;27;facebook;26-35;gaming;1
30;22.0;61.0;87.0;fifa;True;41;mail;36-50;football;1
31;43.0;85.0;90.0;fifa;True;42;mail;36-50;football;1
33;98.0;100.0;46.0;instagram pack;True;27;insta;26-35;design;1
34;0.0;4.0;89.0;fifa;True;41;mail;36-50;football;1
35;13.0;26.0;8.0;instagram pack;False;20;insta;19-25;design;0
36;89.0;41.0;76.0;fortnite;True;28;facebook;26-35;gaming;1
37;95.0;51.0;95.0;fortnite;True;25;facebook;19-25;gaming;1
38;100.0;22.0;14.0;fortnite;True;27;facebook;26-35;gaming;1
39;35.0;12.0;31.0;fortnite;False;24;mail;19-25;gaming;0
40;85.0;27.0;65.0;fortnite;True;24;mail;19-25;gaming;1
41;61.0;56.0;5.0;fortnite;True;24;facebook;19-25;gaming;1
42;43.0;83.0;29.0;instagram pack;False;29;insta;26-35;design;0
43;91.0;88.0;61.0;fortnite;True;22;facebook;19-25;gaming;1
44;26.0;61.0;76.0;fifa;False;51;mail;51+;football;0
